gt_title,review,gt_sentiment,gt_score
Lagaan,"A masterpiece that blends cricket, patriotism, and drama into an unforgettable experience. Aamir Khan delivers a powerhouse performance. The songs are iconic and the climax keeps you on the edge of your seat.",positive,95
Sholay,"Timeless classic. Jai and Veeru's friendship, Gabbar's villainy — every frame is legendary. Even after decades, no Bollywood film has matched its perfect balance of action, comedy, and emotion.",positive,98
Dilwale Dulhania Le Jayenge,"The quintessential Bollywood romance. Shah Rukh and Kajol have unmatched chemistry. The Europe sequences feel dated now, but the emotional payoff in the second half still works beautifully.",positive,88
Race 3,"Absolute disaster. The dialogue is laughably bad, the plot makes zero sense, and the acting is wooden across the board. Salman Khan sleepwalks through the role. A waste of time and money.",negative,8
3 Idiots,"Rajkumar Hirani's finest work. It critiques India's education system while being genuinely funny and heartwarming. The Rancho character is aspirational without being preachy. A film for every generation.",positive,93
Thugs of Hindostan,"Two hours of CGI spectacle with no soul. Aamir Khan tries too hard to be quirky, and the screenplay is a mess. Even Amitabh Bachchan cannot save this sinking ship.",negative,15
Dangal,"Incredibly inspiring sports drama based on a true story. Aamir Khan's physical transformation is remarkable. The wrestling sequences are intense and the father-daughter dynamic is deeply moving.",positive,94
Humshakals,"One of the worst comedies ever made. Triple roles, toilet humor, and a plot that insults the audience's intelligence. Sajid Khan has outdone himself in making something unwatchable.",negative,5
Gangs of Wasseypur,"Raw, visceral, and unapologetically bold. Anurag Kashyap creates an Indian crime epic that rivals anything from Hollywood. The ensemble cast is phenomenal and the soundtrack is revolutionary.",positive,92
Himmatwala,"A painful attempt at reviving 80s masala cinema. Ajay Devgn and Tamannaah have zero chemistry. The action is cartoonish and the comedy doesn't land. Skip this one entirely.",negative,10
Dil Chahta Hai,"A coming-of-age film that changed Bollywood forever. Fresh, modern, and emotionally honest. The three-friend dynamic feels authentic and Farhan Akhtar's directorial debut is nothing short of brilliant.",positive,91
Happy New Year,"Shah Rukh Khan's star power can't compensate for a bloated script. The heist plot is paper-thin, the comedy is forced, and at nearly three hours, it overstays its welcome considerably.",negative,25
Andhadhun,"A tightly wound thriller that keeps you guessing until the last frame. Ayushmann Khurrana is superb as the blind pianist. Sriram Raghavan proves he is the master of Indian noir.",positive,94
Action Jackson,"Mindless doesn't even begin to describe this film. Ajay Devgn deserves better. The plot, if you can call it that, is incoherent. The songs are forgettable and the action is absurd.",negative,7
Zindagi Na Milegi Dobara,"A beautiful celebration of friendship and self-discovery set against stunning Spanish landscapes. Each character arc is well-developed, and the poetry woven throughout adds a magical layer to the storytelling.",positive,90
Drona,"Abhishek Bachchan as a superhero sounded promising on paper but the execution is terrible. The VFX looks cheap, the story is derivative, and the pacing is painfully slow. A total misfire.",negative,12
Barfi,"Ranbir Kapoor gives a career-best performance in this heartwarming tale. The film communicates volumes through silence and physical comedy. Anurag Basu crafts a love story that transcends language barriers.",positive,89
Bombay Velvet,"Anurag Kashyap's ambitious noir falls flat. Ranbir Kapoor's accent is inconsistent, the narrative drags, and despite gorgeous production design, the film lacks the emotional core it desperately needs.",negative,22
Tumbbad,"A hidden gem of Indian cinema. The mythological horror setup is unlike anything Bollywood has attempted. The visuals are stunning, the atmosphere is drenched in dread, and the allegory about greed is powerful.",positive,93
Sadak 2,"The most disliked trailer on YouTube for a reason. Lazy writing, terrible performances, and an attempt to capitalize on Sanjay Dutt's legacy that backfires spectacularly. Bollywood nepotism at its worst.",negative,6
Gully Boy,"Ranveer Singh completely transforms into Murad. The Mumbai underground rap scene comes alive with authenticity. Zoya Akhtar's direction is sharp, and the soundtrack became a cultural phenomenon across India.",positive,91
Student of the Year 2,"A glossy, superficial sequel that nobody asked for. Tiger Shroff can do backflips but can't emote. The love triangle is hollow and the campus setting feels like a fantasy world detached from reality.",negative,18
Queen,"Kangana Ranaut owns every frame. The journey of a jilted bride discovering herself in Europe is both funny and empowering. Vikas Bahl delivers an unexpectedly feminist film that resonates deeply.",positive,92
